URL,Size,# of outlinks,Content-type
https://www.foxnews.com/entertainment/miranda-lambert-2016-album-sanity,75337,184,TEXT/HTML
https://www.foxnews.com/tech,109759,236,TEXT/HTML
https://www.foxnews.com/category/science/wild-nature,62565,176,TEXT/HTML
https://www.foxnews.com/terms-of-use,169784,155,TEXT/HTML
https://www.foxnews.com/auto,137894,275,TEXT/HTML
https://www.foxnews.com/science/vatican-to-open-secret-archive-of-wartime-pope-pius-xii,76405,176,TEXT/HTML
https://www.foxnews.com/food-drink/courtside-server-spills-tray-drinks-portland,68833,173,TEXT/HTML
https://www.foxnews.com/lifestyle/texas-boy-nike-garza-adopted-half-life-in-foster-care,74818,174,TEXT/HTML
https://www.foxnews.com/category/world/united-nations,64399,176,TEXT/HTML
https://www.foxnews.com/category/health/nutrition-and-fitness/weight-loss,61722,177,TEXT/HTML
https://www.foxnews.com/great-outdoors/bluefin-record-virginia-fisherman-708-pounds,70377,168,TEXT/HTML
https://www.foxnews.com/category/politics/senate,63471,175,TEXT/HTML
https://www.foxnews.com/person/d/nate-day,53208,165,TEXT/HTML
https://www.foxnews.com/lifestyle/jennifer-lopez-selfie-moms-jlo-challenge,68264,170,TEXT/HTML
https://www.foxnews.com/health,90774,207,TEXT/HTML
https://www.foxnews.com/opinion/martha-maccallum-prayer-from-iwo-jima-75-years-later,88788,170,TEXT/HTML
https://www.foxnews.com/entertainment/onward-movie-feature-lgbtq-animated-character-lena-waithe.amp,66478,141,TEXT/HTML
https://www.foxnews.com/category/lifestyle/thankful-nation,99572,222,TEXT/HTML
https://www.foxnews.com/media/brandon-judd-greyhound-sanctuary-buses-policy.amp,70158,137,TEXT/HTML
https://www.foxnews.com/category/fitness-and-wellbeing,62068,176,TEXT/HTML
https://www.foxnews.com/entertainment/miss-america-bess-myersons-daughter-reflects-on-growing-up-with-beauty-queen-she-cast-a-very-large-shadow,111523,205,TEXT/HTML
https://www.foxnews.com/category/health/mental-health,63894,175,TEXT/HTML
https://www.foxnews.com/category/lifestyle/pets,60333,177,TEXT/HTML
https://www.foxnews.com/world/trump-arrives-in-india,69156,166,TEXT/HTML
https://www.foxnews.com/entertainment/tom-holland-spider-man-marvel-exit-phone-call-disney-ceo-bob-iger,76504,185,TEXT/HTML
https://www.foxnews.com/us/alaska-airmen-receives-discipline-for-urinating-in-coffee-maker,66990,170,TEXT/HTML
https://www.foxnews.com/entertainment/jessica-mulroney-denies-registering-charity-website-meghan-markle-prince-harry,71764,184,TEXT/HTML
https://www.foxnews.com/science/search-for-aliens-new-techniques-announced-determine-whether-alone-universe,79723,180,TEXT/HTML
https://www.foxnews.com/category/shows/star-wars,64271,176,TEXT/HTML
https://www.foxnews.com/science/what-should-we-do-if-a-planet-killer-asteroid-takes-aim-at-earth,76148,174,TEXT/HTML
https://www.foxnews.com/category/lifestyle/parenting,61216,177,TEXT/HTML
